code,name,account_type,reconcile
10100000,Capital,equity,FALSE
10610000,Réserve légale,equity,FALSE
10680000,Autres réserves,equity,FALSE
11000000,Report à nouveau,equity,FALSE
12000000,Résultat (bénéfice),equity,FALSE
13100000,Subvention équipement,equity,FALSE
13900000,Subvention d'investissement,equity,FALSE
14500000,Amortissements dérogatoires,equity,FALSE
15150000,Prov pour pertes de change,liability_non_current,FALSE
16400001,Emprunts bfc - 1an nø 831101,liability_non_current,FALSE
16400003,Emprunts bfc -1an nø 1224101,liability_non_current,FALSE
16400140,Emprunts bred - 1an nø 861803,liability_non_current,FALSE
16400160,Emprunts bred - 1an nø 869539,liability_non_current,FALSE
16400190,Emprunts bred - 1an nø 869443,liability_non_current,FALSE
16410140,Emprunts bred - 5ans nø 861803,liability_non_current,FALSE
16420000,Emprunt BPIFRANCE,liability_non_current,FALSE
16430000,Emprunt CA camion Iveco 71100€,liability_non_current,FALSE
16440000,Emprunt CA cam. Iveco 116100€,liability_non_current,FALSE
16450000,Emprunt CAM/KIA FX-066-HN,liability_non_current,FALSE
16460000,Emprunt CAM/Toyota GA-287-WV,liability_non_current,FALSE
16470000,Emprunt CAM/Kia GC-407-FV,liability_non_current,FALSE
16480000,Emprunt CAM/Kia GF-066-KL,liability_non_current,FALSE
16490000,Emprunt CAM camion Iveco GL067,liability_non_current,FALSE
16500000,Dépôts&cautionnements recus,liability_non_current,FALSE
16884000,Int cou:rempr ets crédit,liability_current,FALSE
20300000,Frais d'études& développement,asset_non_current,FALSE
20500000,"Concessions, brevets, licences",asset_non_current,FALSE
20800000,Titres scpi,asset_non_current,FALSE
20810000,Part scpi eurofonciere 2,asset_non_current,FALSE
20811001,SCPI Epargne Pierre 203 parts,asset_non_current,FALSE
20811002,SCPI Epargne Pierre 661 parts,asset_non_current,FALSE
20811003,SCPI Epargne Pierre 678 parts,asset_non_current,FALSE
20811004,SCPI Pierval Santé 1520 parts,asset_non_current,FALSE
20811005,SCPI Epargne Pierre 1073 parts,asset_non_current,FALSE
20811006,SCPI Pierval Santé 1480 parts,asset_non_current,FALSE
20811007,SCPI Epargne Pierre éch 310127,asset_non_current,FALSE
20811008,SCPI Epargne Pierre éch 280227,asset_non_current,FALSE
20811009,SCPI Eparg.Foncière éch.311226,asset_non_current,FALSE
20812000,SCPI LF Europimmo éch.28022027,asset_non_current,FALSE
20813000,SCPI Pierval Santé ech31122026,asset_non_current,FALSE
